CustomerId	Phone	Fax
31	+1 (902) 450-0450			
11	+55 (11) 3055-3278	+55 (11) 3055-8131
12	+55 (21) 2271-7000	+55 (21) 2271-7070
9	+453 3331 9991	
38	+49 030 2141444	
5	+420 2 4172 5555	+420 2 4172 5555
48	+31 020 6223130	
36	+49 030 26550280	
10	+55 (11) 3033-5446	+55 (11) 3033-4564
4	+47 22 44 22 22	
17	+1 (425) 882-8080	+1 (425) 882-8081
20	+1 (650) 644-3358	
37	+49 069 40598889	
35	+351 (225) 022-448	
43	+33 03 80 73 66 99	
29	+1 (416) 363-8888	
54	+44 0131 315 3300	
40	+33 01 47 42 71 71	
59	+91 080 22289999	
30	+1 (613) 234-3322	
34	+351 (213) 466-111	
15	+1 (604) 688-2255	+1 (604) 688-8756
39	+33 01 49 70 65 65	
16	+1 (650) 253-0000	+1 (650) 253-0000
41	+33 04 78 30 30 30	
3	+1 (514) 721-4711	
19	+1 (408) 996-1010	+1 (408) 996-1011
47	+39 06 39733434	
50	+34 914 454 454	
27	+1 (520) 622-4200	
44	+358 09 870 2000	
46	+353 01 6792424	
23	+1 (617) 522-1333	
56	+54 (0)11 4311 4333	
42	+33 05 56 96 96 96	
24	+1 (312) 332-3232	
55	+61 (02) 9332 3633	
33	+1 (867) 920-2233	
6	+420 2 4177 0449	
18	+1 (212) 221-3546	+1 (212) 221-4679
